term;lda_vector
all;0.19253,0.10,0.06,-0.08,0.52,0.39,-0.41,-0.45,-0.34,-0.11,0.01,0.31,-0.50,-0.11,0.74,0.09,0.34,-0.12,-0.16,-0.84,-0.11,0.40,0.76,0.09,0.10,-1.26,-0.57,-0.36,0.34,-0.75,4.04,0.94,-0.22,-0.35,0.34,0.13,0.23,-0.03,-0.25,0.12,-0.39,-0.04,0.45,0.56,-0.46,0.41,-0.54,0.08,-0.30,-0.30
people;0.95281,-0.20,0.55,-0.46,0.73,0.02,-0.19,-0.09,-0.22,-0.19,-0.34,-1.02,0.74,-0.54,0.88,-0.14,4.0139e-03,0.58,0.10,-0.44,-0.43,0.98,0.78,0.51,0.85,-1.77,-0.88,-0.59,0.08,-0.48,3.96,0.88,-0.27,-0.44,-0.26,0.08,0.02,-0.58,0.10,0.77,-0.95,0.40,0.89,0.65,0.39,0.20,-1.32,-0.10,-0.22,-0.46
government;0.38797,-1.08,0.45,-0.23,0.08,-0.25,-0.18,-0.10,-0.50,-0.58,-0.05,-0.14,9.0217e-03,-0.38,0.18,0.42,0.10,-0.14,1.08,0.06,0.64,0.19,-0.14,-0.87,-0.35,-2.43,0.28,-0.33,-0.56,0.91,4.01,0.07,-1.24,-0.36,-0.50,0.01,-0.27,-0.50,-0.25,-0.09,-0.67,0.40,0.27,-0.37,-0.45,-0.30,-1.64,1.19,0.65,-0.76
time;0.02648,0.33,0.06,-0.11,0.41,-0.21,-0.69,0.28,-0.36,-0.13,0.01,0.08,-0.84,0.05,1.15,0.14,-4.9197e-03,-0.24,-0.96,-0.30,0.23,0.21,0.40,0.17,0.55,-1.63,-0.17,-0.45,0.45,0.14,3.70,0.40,-0.40,-0.29,0.03,-0.15,0.10,0.63,0.12,-0.25,-0.10,6.9768e-03,-0.17,0.35,-0.46,0.15,0.41,-0.33,-0.23,0.19
you;-0.0010919,0.33,0.35,-0.54,0.82,-0.49,-0.32,1.9972e-03,-0.23,0.35,-0.60,0.98,-0.21,0.11,1.14,0.73,0.51,0.29,0.28,-1.35,-0.37,0.50,0.70,0.62,1.05,-2.17,-1.32,0.40,1.57,-1.66,3.77,0.86,-0.80,0.18,-0.34,0.01,0.23,0.06,0.70,-0.73,0.20,0.11,-0.15,0.85,0.22,0.16,0.36,-0.45,-0.04,1.13
no;0.34957,0.40,-0.01,0.13,0.40,0.46,-0.09,-2.4548e-03,-0.33,-4.639e-03,-0.05,0.27,-0.39,-0.29,0.97,0.41,0.18,-0.20,-0.06,-0.61,-0.53,0.41,0.34,-0.31,0.27,-1.83,-0.82,0.48,1.13,-0.38,3.81,0.25,-0.70,-0.25,0.04,-0.09,0.79,-0.49,0.10,0.14,-0.18,0.13,0.21,0.53,-0.19,-0.42,-0.61,0.70,0.57,0.43
world;-0.41486,0.71,-0.30,0.87,0.22,-0.56,-0.37,-0.44,0.61,-0.11,0.74,-0.10,-1.18,0.50,1.35,0.06,0.73,0.26,-1.17,-0.14,0.03,0.03,-0.27,0.25,0.41,-1.61,-0.81,-0.73,-0.28,0.57,3.47,0.73,-0.04,-0.15,-0.93,-0.13,-0.28,0.76,-0.83,-0.67,-0.39,-0.64,1.00,-0.20,0.46,0.99,-0.16,-0.46,-0.37,-0.67
do;0.29605,-0.13,0.04,-0.38,0.12,-0.65,-0.28,0.09,-0.55,0.32,3.7422e-03,0.93,-0.22,-0.21,0.92,0.75,0.84,-4.2197e-03,0.53,-1.26,-0.61,0.16,0.82,0.65,0.48,-1.97,-1.14,-0.21,0.80,-1.47,3.74,1.01,-1.12,-0.52,-0.12,-0.27,0.06,-0.04,0.60,-0.20,-0.45,0.01,0.41,0.68,0.14,-0.03,-0.04,-1.1279e-04,0.13,0.96
state;-0.94222,-0.05,0.08,0.71,-0.17,-0.13,-0.27,0.32,0.19,-0.92,-0.51,-0.45,0.45,-0.52,-0.11,0.07,0.19,0.32,0.42,0.38,0.09,-0.58,0.02,-0.15,-0.40,-2.67,0.14,-0.13,-0.42,-0.35,3.44,-0.26,-0.61,-0.99,0.06,-0.11,-0.23,0.15,0.57,0.29,-1.18,0.51,0.19,-0.01,-1.21,0.67,-1.03,0.53,0.20,0.10
us;0.19086,0.24,1.27,-0.03,0.60,-0.70,0.04,-0.44,8.0416e-03,-0.18,-0.68,-0.12,-0.32,-0.07,0.79,0.31,0.08,-0.03,-0.60,0.01,0.42,0.71,0.13,-0.64,0.06,-2.23,0.01,-0.45,0.40,-4.2052e-03,3.45,0.54,-0.37,0.58,-0.22,-0.84,-0.30,-0.69,-0.42,-0.81,0.03,0.25,1.74,-0.61,0.41,0.40,-0.51,0.89,-0.54,0.69
most;0.53248,0.03,-0.12,-0.15,0.25,0.20,-0.71,-0.27,-0.47,0.49,-0.12,-0.24,0.23,0.11,0.44,-0.10,0.44,0.16,-0.34,-0.54,-0.56,-0.12,0.23,0.39,0.13,-1.47,-1.13,-0.23,0.17,0.20,3.95,9.2012e-03,0.61,-0.75,0.42,0.09,-0.26,0.48,-0.78,-0.10,-0.68,0.34,0.42,0.71,0.05,0.33,-0.72,0.06,-0.34,-0.06
united;-0.39874,0.07,-0.06,0.14,0.11,0.14,-0.84,0.14,0.64,-0.55,0.50,-0.07,-0.41,-0.53,1.539e-03,0.13,0.41,-0.46,-0.39,0.31,0.14,-0.02,0.15,0.04,-0.48,-2.19,0.95,-0.52,-0.24,0.07,3.28,0.20,-0.38,-0.66,-0.13,-0.76,-0.09,0.21,-0.99,-0.48,0.05,-0.28,0.92,-0.90,-0.05,1.05,-0.98,0.16,-0.81,-0.12
many;0.6979,0.08,0.04,-0.50,-0.15,0.36,-1.07,-0.23,-0.74,0.16,-0.18,-0.07,0.32,-0.20,0.59,-0.06,0.34,-0.05,0.06,-1.02,-0.01,0.06,0.42,0.45,0.20,-1.24,-1.18,-0.66,-0.04,-0.26,4.01,0.44,0.40,-1.06,0.28,0.36,-0.40,-0.04,-0.50,0.39,-0.68,0.19,0.46,0.91,0.49,0.15,-0.86,0.03,-0.60,-0.64
while;0.1011,-0.16,0.22,-0.10,0.46,0.37,-0.62,-0.14,-0.38,0.05,0.23,-0.20,-0.55,-0.38,0.21,0.02,-0.23,-0.13,-0.61,-0.46,0.25,0.62,0.38,-0.25,0.09,-1.51,0.47,-0.08,0.02,-0.25,3.61,0.62,0.15,-0.06,0.28,-0.16,-0.20,0.44,0.06,-0.10,-0.15,0.27,0.38,-0.09,0.10,-0.08,-0.27,-0.49,0.04,-0.39
states;-0.42093,0.04,0.11,0.34,0.09,0.42,-0.34,0.01,0.61,-0.57,0.29,-0.21,0.14,-0.31,0.16,0.05,0.16,-0.58,-0.06,0.08,0.21,-0.52,0.46,-0.04,-0.20,-2.36,0.37,-0.68,0.02,-0.17,3.36,-0.10,-0.49,-0.84,-0.15,-0.92,-0.34,0.29,-0.96,-0.13,-0.47,-0.05,1.37,-0.68,-0.29,0.79,-0.73,0.13,-0.79,0.19
now;0.40991,0.08,0.29,-0.25,0.30,-0.23,-0.89,-0.23,-0.24,-0.14,0.02,-0.09,-0.51,-0.36,0.60,0.66,0.30,0.44,-0.09,-0.06,-0.10,0.10,0.10,0.34,-0.04,-1.92,-0.33,0.16,0.08,-0.28,3.54,0.26,-0.02,-0.39,0.03,-0.32,-0.15,0.48,0.16,-0.44,-0.44,-0.04,0.23,0.28,-0.43,0.40,-0.47,-0.33,-0.39,0.13
city;0.43945,0.43,-0.36,0.27,0.06,-0.80,-0.93,0.01,-0.55,-0.16,-0.40,-1.39,0.32,-0.88,-0.18,0.11,0.04,0.83,-0.87,0.77,0.55,0.07,-0.84,0.40,-0.59,-2.06,-0.15,0.57,0.28,-1.02,3.24,0.50,0.11,-1.17,0.19,0.36,-0.04,0.02,0.54,0.84,-0.66,0.60,0.23,-0.65,-0.70,0.51,-1.07,-0.71,0.48,-0.32
like;0.36808,0.20,-0.22,0.04,0.20,0.27,-0.77,-0.76,-0.34,0.50,-0.24,0.71,-0.33,0.37,0.44,0.36,0.43,0.47,-0.05,-0.93,-0.27,0.31,0.22,0.36,0.10,-1.76,-1.26,0.30,0.56,-1.02,3.23,0.48,0.02,0.03,-0.07,0.18,-0.52,0.03,0.27,-0.07,-0.27,0.79,1.6028e-03,0.45,0.88,0.43,-0.19,-0.67,-0.39,0.25
as;0.20782,0.12,-0.30,-0.23,0.30,0.33,-0.52,-0.44,-0.48,0.03,0.34,0.54,-0.20,-0.08,0.24,0.15,-3.1349e-03,0.32,-0.45,-0.22,0.02,-0.04,0.31,0.08,-0.03,-1.82,-0.50,-0.09,-0.08,0.05,3.71,-0.16,-0.07,-0.57,0.20,0.13,0.07,0.08,-0.25,-0.15,-0.15,0.39,-0.23,-0.09,0.07,-0.01,-0.49,-0.35,0.05,0.01
at;0.27724,0.88,-0.26,0.08,0.40,-1.16,-0.68,0.14,-0.57,-0.58,-0.50,-0.86,-0.52,-0.56,0.32,0.43,-0.21,0.49,-1.81,-0.03,1.32,0.80,0.01,-0.08,-0.16,-1.59,0.47,0.26,-0.41,-0.38,3.44,0.34,-0.03,-0.56,0.18,-0.48,0.42,0.44,1.09,0.06,-0.06,-0.29,0.08,0.35,0.17,0.25,0.37,-0.51,0.02,0.05
from;0.41037,0.11,0.05,-0.53,-0.12,0.22,-0.94,-0.18,-0.36,-0.06,0.19,-0.33,0.11,-0.58,0.36,0.12,-0.35,-0.02,-1.23,0.23,0.71,0.14,0.50,-0.12,-0.20,-1.82,0.22,0.02,-0.08,-0.27,3.73,-0.01,-0.08,-0.30,0.27,0.04,-0.24,0.01,0.49,0.15,-0.01,0.40,0.23,-0.10,-0.36,-0.05,0.04,-0.36,-0.19,-0.81
his;-0.033537,0.47,-0.68,-0.72,0.84,0.64,-0.75,0.63,-0.54,0.11,-0.20,0.63,-1.26,-0.17,0.35,-0.55,-0.65,-0.34,-0.31,-0.07,-0.11,0.97,-0.01,-0.73,0.47,-2.70,-0.42,-0.05,0.01,-0.11,3.30,0.17,-0.50,-0.22,0.24,0.56,0.09,0.95,7.6093e-03,-0.54,0.09,0.41,-1.11,5.0954e-03,-0.14,-0.45,-0.08,-0.62,-0.02,-0.43
i;0.11891,0.15,-0.08,-0.74,0.75,-0.48,-0.31,0.51,-0.98,6.1757e-04,-0.15,0.83,-1.07,-0.51,1.31,0.62,0.13,0.47,-0.07,-0.72,-0.74,0.75,0.88,0.29,1.35,-2.57,-1.35,0.45,1.00,-1.18,3.47,0.77,-0.72,0.25,-0.26,-0.34,0.55,0.75,0.49,-0.26,-2.7443e-03,-0.01,-0.28,0.55,0.03,0.18,-0.15,-0.57,-0.26,0.92
one;0.31474,0.41,0.13,0.15,0.88,0.43,-0.55,0.03,-0.14,-0.14,-0.17,-0.17,-0.49,0.26,0.48,-0.29,0.18,0.14,-0.75,-0.35,-0.23,0.18,0.17,0.23,0.14,-1.90,-0.65,-0.02,0.10,-0.43,3.78,-0.04,-0.04,0.02,0.51,0.13,0.23,0.25,0.06,-0.06,-0.15,0.30,-0.09,0.33,-0.14,0.01,-0.24,-0.20,0.07,-0.11
new;0.19511,0.50,1.4709e-03,0.04,-0.16,0.03,-1.39,-0.92,-0.24,-0.15,-0.47,0.05,-0.24,0.38,0.01,0.34,-0.22,0.08,-0.41,-0.18,0.75,-0.02,-0.69,0.10,-0.47,-1.80,-0.16,-0.05,-0.16,-0.09,3.66,0.04,-0.29,-0.69,0.30,-0.28,0.13,-7.643e-03,-0.09,-0.49,-0.27,0.06,0.09,-0.23,-0.08,1.02,-0.22,0.03,-0.14,0.45
first;-0.14168,0.41,-0.31,0.16,0.26,0.45,-1.20,0.01,-0.22,-0.16,0.34,-0.12,-0.65,0.29,0.62,-0.57,-0.33,-0.22,-1.48,0.28,0.08,-0.21,5.6613e-03,-0.05,0.09,-1.58,-0.22,-0.62,-0.39,-0.08,3.59,-0.16,-0.39,0.02,0.52,-0.02,0.63,0.62,-0.22,-0.45,-0.14,-0.27,-0.46,-0.44,-0.43,0.38,0.13,-0.25,0.01,-0.14
year;-0.098793,0.26,0.35,-0.10,-0.01,0.05,-1.08,-0.53,9.5416e-03,0.07,-0.08,-0.62,-0.52,-0.56,1.80,0.01,-0.44,-0.04,-1.11,0.17,0.49,-0.38,0.30,-0.70,-0.35,-1.51,-0.02,-0.54,-0.36,0.52,3.65,0.71,-0.16,0.36,0.33,-0.48,0.10,0.61,0.15,-0.70,-1.23,-0.01,0.09,-0.30,-0.49,-0.04,-0.16,0.11,-0.37,0.09
national;-1.1105,0.94,-0.17,0.93,-0.24,-0.70,-0.86,-0.56,0.73,-1.02,0.33,-0.41,0.06,0.19,-0.22,-0.26,0.35,0.37,-0.30,0.03,-0.22,-0.14,-0.14,-0.46,-0.58,-1.64,-0.65,-0.44,-1.43,0.32,3.44,0.47,-1.00,-1.13,-0.68,0.02,0.04,-0.30,0.29,-0.16,-0.72,-0.20,-0.16,-0.20,-0.44,0.35,-0.98,0.47,0.45,-0.35
day;0.11626,0.53,-0.39,-0.26,0.57,-0.79,-0.88,0.30,0.08,-0.33,-0.64,-0.75,-0.30,0.07,1.22,-0.03,-0.47,-0.40,-1.11,-0.21,0.49,0.55,0.38,-0.22,0.37,-1.42,-0.13,0.10,0.16,0.35,3.57,0.76,-0.59,0.51,0.12,-0.36,0.43,0.08,0.03,0.08,-0.87,0.26,-0.32,-0.12,0.25,0.32,0.02,-0.39,-0.10,0.08
